model,n,correct,accuracy,accuracy_ci,macro_f1,macro_f1_ci
Majority,230,83,0.36086956521739133,"[0.30155859643232186, 0.42475169806052027]",0.10607028753993611,"[0.0912751677852349, 0.11865443425076452]"
Cue,230,115,0.5,"[0.4359148596910899, 0.5640851403089101]",0.5060258229877774,"[0.4360666244235912, 0.5695369301480588]"
TF-IDF,230,112,0.48695652173913045,"[0.4231071060243146, 0.5512344840843895]",0.48955027042711396,"[0.41816597918989223, 0.553555259757064]"
MPNet,230,91,0.39565217391304347,"[0.334668896317121, 0.46006382455251055]",0.38994605086015544,"[0.31546752415195844, 0.4576745471886186]"
